Year,DOI,Publication
2014,10.1051/0004-6361/201424425,"Bilous A. V., Hessels J. W. T., Kondratiev V. I., et al., 2014, A&A, 572, A52, LOFAR observations of PSR B0943+10: profile evolution and discovery of a systematically changing profile delay in bright mode"
2014,10.1093/mnras/stu1588,"Patel P., Abdalla F. B., Bacon D. J., et al., 2014, MNRAS, 444, 2893, Weak lensing measurements in simulations of radio images"
2014,10.1051/0004-6361/201424487,"Salvini S., Wijnholds S. J., 2014, A&A, 571, A97, Fast gain calibration in radio astronomy using alternating direction implicit methods: Analysis and applications"
2014,10.1103/PhysRevD.90.082003,"Buitink S., Corstanje A., Enriquez J. E., et al., 2014, PhRvD, 90, 082003, Method for high precision reconstruction of air shower Xmax using two-dimensional radio intensity profiles"
2014,10.1088/1475-7516/2014/10/014,"Schellart P., Buitink S., Corstanje A., et al., 2014, JCAP, 10, 014, Polarized radio emission from extensive air showers measured with LOFAR"
2014,10.1088/0004-637X/794/1/21,"Dolch T., Lam M. T., Cordes J., et al., 2014, ApJ, 794, 21, A 24 Hr Global Campaign to Assess Precision Timing of the Millisecond Pulsar J1713+0747"
2014,10.1088/0004-637X/793/2/82,"van Weeren R. J., Williams W. L., Tasse C., et al., 2014, ApJ, 793, 82, LOFAR Low-band Antenna Observations of the 3C 295 and Bootes Fields: Source Counts and Ultra-steep Spectrum Sources"
2014,10.1051/0004-6361/201424495,"Coenen T., van Leeuwen J., Hessels J. W. T., et al., 2014, A&A, 570, A60, The LOFAR pilot surveys for pulsars and fast radio transients"
2014,10.1093/mnras/stu1178,"Patil A. H., Zaroubi S., Chapman E., et al., 2014, MNRAS, 443, 1113, Constraining the epoch of reionization with the variance statistic: simulations of the LOFAR case"
2014,10.1088/2041-8205/790/2/L22,"Archibald A. M., Kondratiev V. I., Hessels J. W. T., et al., 2014, ApJ, 790, L22, Millisecond Pulsar Scintillation Studies with LOFAR: Initial Results"
2014,10.1051/0004-6361/201423998,"Jelic; V., de Bruyn A. G., Mevius M., et al., 2014, A&A, 568, A101, Initial LOFAR observations of epoch of reionization windows. II. Diffuse polarized emission in the ELAIS-N1 field"
